model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
SVR,arousal,lag_2,0.007518279475118901,0.03710023045740135,-0.012251037862024663,0.027287596812262466,0.041237882039593554,0.9032560755776479,0.30486878049675603,16
Ensemble,arousal,lag_2,0.0059258691034174,0.03191559761790919,-0.01108075240631929,0.02293249061315409,0.022977904931345623,0.8623838923825909,0.29832323326478316,16
RidgeCV,arousal,lag_2,0.0004278054594772131,0.030595355467552692,-0.01587530866740807,0.016730919586362497,0.006341096833666664,0.954574758797466,0.4968895318124554,16
MeanBaseline,arousal,lag_2,9.473610742765201e-32,1.4124624891747997e-31,1.9471294160871586e-32,1.7000092069443244e-31,,0.7775994539247872,5.954940352566051e-16,16
CatBoost,arousal,lag_2,-0.0014164648673235724,0.050599041943793124,-0.028378791106532318,0.02554586137188517,0.0001450726981230832,0.8013890176361397,0.213760129630863,16
XGBoost,arousal,lag_2,-0.013908591589890539,0.03968802818835517,-0.035056849001444346,0.00723966582166327,-0.02120624529307331,0.8198459517018248,0.2734235068165777,16
SVR,arousal,lag_3,0.010054272327248138,0.04879147890602721,-0.01594487155810661,0.036053416212602885,0.05297777425206432,0.9126800911518117,0.3515006792172296,16
Ensemble,arousal,lag_3,0.007150499320919648,0.03554004200979148,-0.011787452276812676,0.026088450918651973,0.02880057434929311,0.8603966623389927,0.29093145861606495,16
RidgeCV,arousal,lag_3,0.003045732155984597,0.031891273536559954,-0.013947927965717597,0.02003939227768679,0.017332532076026967,0.9226344693445431,0.44022376029496024,16
MeanBaseline,arousal,lag_3,1.7495372382259818e-32,1.8823318132445705e-31,-8.280700981604008e-32,1.1779775458055972e-31,,0.7775406452304945,5.63946596848056e-16,16
XGBoost,arousal,lag_3,-0.003778137079306708,0.0342392625503404,-0.022022952230109055,0.01446667807149564,0.0010687288764653566,0.8223725137643056,0.26889956805163545,16
CatBoostOptuna,arousal,lag_3,-0.0039126496265356105,0.052942644629847796,-0.032123793585785064,0.024298494332713846,-0.0030060705097646,0.8617542671237857,0.3598297437587863,16
CatBoost,arousal,lag_3,-0.004094098374192843,0.0432622970148582,-0.027146949202235836,0.018958752453850147,-0.005096692930123535,0.8067050581824053,0.2109351688895525,16
SVR,arousal,lag_4,0.013974912891917508,0.04406418646816094,-0.009505234663833219,0.037455060447668234,0.04638634000276655,0.8864410696609338,0.344503521023052,16
Ensemble,arousal,lag_4,0.010925643642591482,0.03708533073104131,-0.008835734190807316,0.03068702147599028,0.037347797883654846,0.8367735742303155,0.2708353116965902,16
RidgeCV,arousal,lag_4,0.0059754979078595625,0.03355969561832617,-0.011907201585838068,0.02385819740155719,0.02011916935746401,0.8750855627106534,0.37815916020290785,16
MeanBaseline,arousal,lag_4,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
XGBoost,arousal,lag_4,-0.001020225789276295,0.04164398935328735,-0.023210741334861694,0.021170289756309107,-0.0015794145075461348,0.8150733903026838,0.2628907469692967,16
