model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
Ensemble,arousal,lag_3,0.007015962510741283,0.035990840076649426,-0.01216220242067689,0.026194127442159456,0.0269733437958102,0.8566059204520746,0.28681020504290383,16
RidgeCV,arousal,lag_3,0.003045732155984597,0.031891273536559954,-0.013947927965717597,0.02003939227768679,0.017332532076026967,0.9226344693445431,0.44022376029496024,16
MeanBaseline,arousal,lag_3,1.7495372382259818e-32,1.8823318132445705e-31,-8.280700981604008e-32,1.1779775458055972e-31,,0.7775406452304945,5.63946596848056e-16,16
XGBoost,arousal,lag_3,-0.003778137079306708,0.0342392625503404,-0.022022952230109055,0.01446667807149564,0.0010687288764653566,0.8223725137643056,0.26889956805163545,16
CatBoost,arousal,lag_3,-0.004094098374192843,0.0432622970148582,-0.027146949202235836,0.018958752453850147,-0.005096692930123535,0.8067050581824053,0.2109351688895525,16
SVR,arousal,lag_4,0.012894808283676782,0.04701068519831696,-0.012155417616919484,0.03794503418427305,0.0498440969576495,0.911176803117272,0.37947065117322054,16
Ensemble,arousal,lag_4,0.010447693178391868,0.03643418868523899,-0.00896671555060195,0.029862101907385686,0.03594152688451919,0.8346115824415645,0.2646731720595696,16
RidgeCV,arousal,lag_4,0.0059754979078595625,0.03355969561832617,-0.011907201585838068,0.02385819740155719,0.02011916935746401,0.8750855627106534,0.37815916020290785,16
MeanBaseline,arousal,lag_4,1.0665088520598003e-31,2.742710559487071e-31,-3.949784418450682e-32,2.527996145964669e-31,,0.7770702592497545,5.689500696677602e-16,16
XGBoost,arousal,lag_4,-0.001020225789276295,0.04164398935328735,-0.023210741334861694,0.021170289756309107,-0.0015794145075461348,0.8150733903026838,0.2628907469692967,16
CatBoost,arousal,lag_4,-0.0012441526128680962,0.047931053099158405,-0.026784807949463335,0.024296502723727145,-0.003943892954860705,0.8018497776021329,0.20861291154381806,16
RidgeCV,arousal,lag_400ms,0.016140708842164793,0.036706620647304566,-0.0034188686322641527,0.035700286316593735,0.03478318057808496,0.8759982823421473,0.4040004978691324,16
Ensemble,arousal,lag_400ms,0.010275087253935288,0.03566077686843757,-0.008727199408695631,0.029277373916566207,0.034944177174693856,0.8305983984664804,0.25512274673149815,16
CatBoost,arousal,lag_400ms,0.0035476057607359036,0.053811135140146134,-0.025126324124388043,0.03222153564585985,0.007342442923992512,0.792745231619967,0.21551725133653882,16
