model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
MeanBaseline,valence,circ_shift,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,16
XGBoost,valence,circ_shift,-0.0014763059530941143,0.035632093943249676,-0.02046330856376077,0.01751069665757254,-0.009969661905385662,0.28571569287436666,16
CatBoost,valence,lag_0,0.012914723953317832,0.03614451440852897,-0.006345328249312535,0.0321747761559482,0.05512089565788101,0.2628122137594134,16
Ensemble,valence,lag_0,0.00311407267168234,0.024123593295147683,-0.009740482819867776,0.015968628163232454,0.018319467753684565,0.2653853562062721,16
MeanBaseline,valence,lag_0,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,16
SVR,valence,lag_0,-2.3416903675691214e-05,6.78532214782576e-05,-5.957333319683328e-05,1.2739525845450846e-05,-0.024208312534473208,0.2415670052236179,16
RidgeCV,valence,lag_0,-0.004118750162841336,0.037969874837319485,-0.024351468279578584,0.016113967953895914,-0.012794598861444467,0.3087344688126793,16
XGBoost,valence,lag_0,-0.004920127298165399,0.02348367247229664,-0.017433693052950564,0.007593438456619765,-0.004070656792082815,0.27437954284698807,16
CatBoost,valence,lag_1,0.0017293974544949934,0.026589905873269218,-0.012439363243016217,0.015898158152006205,-0.00294892842007635,0.2620511042499943,16
Ensemble,valence,lag_1,0.0007110731527352828,0.019807437938237766,-0.009843565495302563,0.011265711800773128,-0.007602451187075511,0.2599474097468035,16
MeanBaseline,valence,lag_1,2.546354662315672e-30,6.899718054932863e-30,-1.1302455658528544e-30,6.222954890484199e-30,,0.24343170013222915,16
SVR,valence,lag_1,-1.6201154671494907e-05,7.24206227436378e-05,-5.47913805305074e-05,2.2389071187517583e-05,0.020843371383923604,0.24034215205731366,16
RidgeCV,valence,lag_1,-0.0019062535872829672,0.033430079670346835,-0.01971988561762615,0.015907378443060213,-0.008674390423792117,0.29048419559581057,16
XGBoost,valence,lag_1,-0.002621645871227868,0.044759001333589996,-0.026472034134270253,0.021228742391814513,0.0008250261668146985,0.28650968168497964,16
RidgeCV,valence,lag_2,0.0019912095386713908,0.03341887369498561,-0.015816451248898983,0.019798870326241762,-0.002652136734587188,0.28338229420098626,16
XGBoost,valence,lag_2,0.0016509140748316585,0.026246928492861497,-0.012335086877277763,0.01563691502694108,0.011665715246353788,0.27769184121193163,16
Ensemble,valence,lag_2,0.0007875154583589551,0.019522380649407405,-0.009615226882494927,0.011190257799212839,-0.003911866332522297,0.2565600897573014,16
MeanBaseline,valence,lag_2,-7.242245500170418e-31,4.026412291233142e-30,-2.86974821211288e-30,1.4212991120787963e-30,,0.2417148760250924,16
CatBoost,valence,lag_2,-1.4939978596145362e-05,0.022131680702773028,-0.011808080172693547,0.011778200215501257,4.1117779115773124e-05,0.2611931127103784,16
SVR,valence,lag_2,-2.0655731072522837e-05,7.39993480002905e-05,-6.008720023924918e-05,1.877573809420351e-05,-0.026195479698730605,0.2387500962069209,16
RidgeCV,valence,lag_3,0.009512958349492215,0.0377658138960015,-0.010611023367085373,0.029636940066069803,0.019749006709116668,0.28664493475429964,16
Ensemble,valence,lag_3,0.003684934287039903,0.02351399206607869,-0.008844787638842333,0.01621465621292214,0.00675224193246191,0.25685958410533827,16
CatBoost,valence,lag_3,0.0013523648084793156,0.030929604162556697,-0.015128857875673488,0.01783358749263212,-0.005401625313438333,0.2618155032082457,16
XGBoost,valence,lag_3,0.0006895123957681116,0.034341935001356995,-0.017610013042299432,0.018989037833835657,0.010897827478052445,0.2742716433176665,16
MeanBaseline,valence,lag_3,-6.964821792677278e-30,2.1456848927052324e-29,-1.8398369516352458e-29,4.468725930997903e-30,,0.2418395903845325,16
SVR,valence,lag_3,-6.477981737061497e-06,6.89926377845519e-05,-4.324156335026703e-05,3.0285599876144037e-05,0.004922498672968962,0.23895991713593007,16
RidgeCV,valence,lag_4,0.001416174821741117,0.037901437986282586,-0.018780075871235605,0.021612425514717835,-0.0003520880930832439,0.2859260826131887,16
SVR,valence,lag_4,2.620348889018484e-06,2.8236943805185503e-05,-1.2426056371368212e-05,1.766675414940518e-05,-0.011529952273606441,0.23938398393864505,16
MeanBaseline,valence,lag_4,4.897754014253915e-31,2.2996268221884595e-30,-7.3560923485201405e-31,1.7151600377027972e-30,,0.2422244532543447,16
XGBoost,valence,lag_4,-0.000692121893032939,0.024195468262476563,-0.013584976851195613,0.012200733065129733,-0.0008138396169661198,0.27707409074639694,16
Ensemble,valence,lag_4,-0.0015976257904527467,0.019856898216723408,-0.012178619960515957,0.008983368379610463,-0.018015599151493613,0.2569531373568767,16
CatBoost,valence,lag_4,-0.007324623252933468,0.024604659449194377,-0.020435520803340282,0.0057862742974733455,-0.031064629971911565,0.26167541791611637,16
