model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,n_sessions
Ensemble,valence,lag_2,-0.0329683752107799,0.058474594910899,-0.0641272873981802,-0.0018094630233796,-0.1010526207736952,0.8104476441786547,16
SVR,valence,lag_2,-0.035318862941883,0.0629888674763689,-0.0688832611813337,-0.0017544647024322,-0.0880069068880149,0.7977378126597277,16
RidgeCV,valence,lag_2,-0.0356291245628847,0.0668872225789002,-0.0712708096052653,1.2560479495785091e-05,-0.0917082695758238,0.8701078172313974,16
MeanBaseline,valence,lag_3,-1.910366160357316e-31,5.9309066836026186e-31,-5.070723249237204e-31,1.249990928522572e-31,,0.7091969486423813,16
Ensemble,valence,lag_3,-0.0359739516983416,0.0642434052629475,-0.0702068459365648,-0.0017410574601183,-0.1058229049466701,0.8226300800083164,16
CatBoost,valence,lag_3,-0.0368616501075194,0.1040881945678933,-0.0923263338599761,0.0186030336449371,-0.0655292705006892,0.8342224249028062,16
SVR,valence,lag_3,-0.0408592792179925,0.0665017355974222,-0.0762955527475005,-0.0054230056884845,-0.0952767062654585,0.8021721116875552,16
RidgeCV,valence,lag_3,-0.0410858753176735,0.0645970789344149,-0.0755072289524782,-0.0066645216828689,-0.1107601353059105,0.9080338469968536,16
MeanBaseline,valence,lag_4,-6.16287708359229e-32,5.711918776691901e-31,-3.6599543785721583e-31,2.4273789618537e-31,,0.7085086019875899,16
SVR,valence,lag_4,-0.0316183363176321,0.0583592040997514,-0.0627157610820369,-0.0005209115532274,-0.0982462360669003,0.8249858520526351,16
RidgeCV,valence,lag_4,-0.0357115455162774,0.0669396729683173,-0.0713811793983298,-4.191163422508082e-05,-0.1058126685733833,0.9053824598560856,16
Ensemble,valence,lag_4,-0.0358197566656967,0.0619253413585607,-0.0688174418400242,-0.0028220714913691,-0.1105579852789514,0.8301359598933642,16
CatBoost,valence,lag_4,-0.0412145051060541,0.1002315994565542,-0.0946241543841433,0.012195144172035,-0.0692645159824441,0.8240652897240314,16
